"","Replicate","Location","beta.bray","type","Year"
"1","Mahe E Patch1","Mahe E Patch",0.515027851795313,"Recovering",1994
"2","Mahe NW Carbonate1","Mahe NW Carbonate",0.478273229953369,"Recovering",1994
"3","Mahe NW Granite1","Mahe NW Granite",0.477165418221954,"Recovering",1994
"4","Mahe NW Patch1","Mahe NW Patch",0.585572490409272,"Recovering",1994
"5","Mahe W Carbonate1","Mahe W Carbonate",0.509654855757872,"Recovering",1994
"6","Mahe W Granite1","Mahe W Granite",0.518905353233666,"Recovering",1994
"7","Mahe W Patch1","Mahe W Patch",0.489700169280523,"Recovering",1994
"8","Praslin NE Granite1","Praslin NE Granite",0.487860867753117,"Recovering",1994
"9","Praslin NE Patch1","Praslin NE Patch",0.472511180359875,"Recovering",1994
"10","Praslin SW Granite1","Praslin SW Granite",0.481148077726865,"Recovering",1994
"11","Ste Anne Granite1","Ste Anne Granite",0.52046261079296,"Recovering",1994
"12","Ste Anne Patch1","Ste Anne Patch",0.505524356891706,"Recovering",1994
"13","Cousin Carbonate","Cousin Carbonate",0.455155403132822,"Shifted",1994
"14","Cousin Granite","Cousin Granite",0.463479116800632,"Shifted",1994
"15","Cousin Patch","Cousin Patch",0.507061461152222,"Shifted",1994
"16","Mahe E Carbonate","Mahe E Carbonate",0.516219292634332,"Shifted",1994
"17","Mahe E Granite","Mahe E Granite",0.610832306728918,"Shifted",1994
"18","Praslin NE Carbonate","Praslin NE Carbonate",0.493615158445654,"Shifted",1994
"19","Praslin SW Carbonate","Praslin SW Carbonate",0.505021356584378,"Shifted",1994
"20","Praslin SW Patch","Praslin SW Patch",0.532920605169249,"Shifted",1994
"21","Ste Anne Carbonate","Ste Anne Carbonate",0.513545719202806,"Shifted",1994
"22","Mahe E Patch11","Mahe E Patch",0.560969876858652,"Recovering",2005
"23","Mahe NW Carbonate11","Mahe NW Carbonate",0.597081846076676,"Recovering",2005
"24","Mahe NW Granite11","Mahe NW Granite",0.570660101406615,"Recovering",2005
"25","Mahe NW Patch11","Mahe NW Patch",0.642721379187945,"Recovering",2005
"26","Mahe W Carbonate11","Mahe W Carbonate",0.578470440699277,"Recovering",2005
"27","Mahe W Granite11","Mahe W Granite",0.579251032742473,"Recovering",2005
"28","Mahe W Patch11","Mahe W Patch",0.632671217575895,"Recovering",2005
"29","Praslin NE Granite11","Praslin NE Granite",0.577717208813911,"Recovering",2005
"30","Praslin NE Patch11","Praslin NE Patch",0.621283686194172,"Recovering",2005
"31","Praslin SW Granite11","Praslin SW Granite",0.603495074317367,"Recovering",2005
"32","Ste Anne Granite11","Ste Anne Granite",0.645509726228452,"Recovering",2005
"33","Ste Anne Patch11","Ste Anne Patch",0.702613246711133,"Recovering",2005
"34","Cousin Carbonate2","Cousin Carbonate",0.544057729948011,"Shifted",2005
"35","Cousin Granite2","Cousin Granite",0.547820389889382,"Shifted",2005
"36","Cousin Patch2","Cousin Patch",0.576897242637904,"Shifted",2005
"37","Mahe E Carbonate2","Mahe E Carbonate",0.583654658587194,"Shifted",2005
"38","Mahe E Granite2","Mahe E Granite",0.547191133303579,"Shifted",2005
"39","Praslin NE Carbonate2","Praslin NE Carbonate",0.537479732638439,"Shifted",2005
"40","Praslin SW Carbonate2","Praslin SW Carbonate",0.594472665779923,"Shifted",2005
"41","Praslin SW Patch2","Praslin SW Patch",0.647939410071836,"Shifted",2005
"42","Ste Anne Carbonate2","Ste Anne Carbonate",0.651435309068163,"Shifted",2005
"43","Mahe E Patch12","Mahe E Patch",0.531249270571125,"Recovering",2008
"44","Mahe NW Carbonate12","Mahe NW Carbonate",0.551543607105188,"Recovering",2008
"45","Mahe NW Granite12","Mahe NW Granite",0.497482725653469,"Recovering",2008
"46","Mahe NW Patch12","Mahe NW Patch",0.615677678847459,"Recovering",2008
"47","Mahe W Carbonate12","Mahe W Carbonate",0.547794453347607,"Recovering",2008
"48","Mahe W Granite12","Mahe W Granite",0.557701475930604,"Recovering",2008
"49","Mahe W Patch12","Mahe W Patch",0.586531892278998,"Recovering",2008
"50","Praslin NE Granite12","Praslin NE Granite",0.552163339838814,"Recovering",2008
"51","Praslin NE Patch12","Praslin NE Patch",0.548368402169833,"Recovering",2008
"52","Praslin SW Granite12","Praslin SW Granite",0.512413017923011,"Recovering",2008
"53","Ste Anne Granite12","Ste Anne Granite",0.544143255299439,"Recovering",2008
"54","Ste Anne Patch12","Ste Anne Patch",0.574839752859514,"Recovering",2008
"55","Cousin Carbonate3","Cousin Carbonate",0.578961185889083,"Shifted",2008
"56","Cousin Granite3","Cousin Granite",0.521249961321748,"Shifted",2008
"57","Cousin Patch3","Cousin Patch",0.615881933021175,"Shifted",2008
"58","Mahe E Carbonate3","Mahe E Carbonate",0.516516960912754,"Shifted",2008
"59","Mahe E Granite3","Mahe E Granite",0.542164232310869,"Shifted",2008
"60","Praslin NE Carbonate3","Praslin NE Carbonate",0.647683740522105,"Shifted",2008
"61","Praslin SW Carbonate3","Praslin SW Carbonate",0.618106409139598,"Shifted",2008
"62","Praslin SW Patch3","Praslin SW Patch",0.535859466192009,"Shifted",2008
