"","FG.fine","FG","Species","Family","state","Location","biom","ID","biom94","biom.change","bodysize","coralmassives","coralencrusting","coralbranching","macroalgae","complexity","Management"
"1","Herbivore Grazer","Herbivore","Acanthurus leucosternon","Acanthuridae","Shifted","Cousin Carbonate",5.564807093,"Cousin Carbonate Acanthurus leucosternon",14.5690321646667,-7.21129209841667,16.0612244897959,0,0.375,0.125,55,2.375,"Protected"
"3","Herbivore Grazer","Herbivore","Acanthurus nigrofuscus","Acanthuridae","Shifted","Cousin Carbonate",9.62979069725,"Cousin Carbonate Acanthurus nigrofuscus",0,9.87719610332559,13.7090301003344,0,0.375,0.125,55,2.375,"Protected"
"4","Herbivore Grazer","Herbivore","Acanthurus tennentii","Acanthuridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Acanthurus tennentii",36.11923783,-36.11923783,21.9609756097561,0,0.375,0.125,55,2.375,"Protected"
"5","Herbivore Grazer","Herbivore","Acanthurus triostegus","Acanthuridae","Shifted","Cousin Carbonate",5.51794624633333,"Cousin Carbonate Acanthurus triostegus",16.114121968,-9.56040481861667,14.3242630385488,0,0.375,0.125,55,2.375,"Protected"
"7","Herbivore Grazer","Herbivore","Ctenochaetus striatus","Acanthuridae","Shifted","Cousin Carbonate",6.0320756685,"Cousin Carbonate Ctenochaetus striatus",8.49367248166667,4.52482636470834,16.3412042502952,0,0.375,0.125,55,2.375,"Protected"
"8","Herbivore Grazer","Herbivore","Ctenochaetus truncatus","Acanthuridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Ctenochaetus truncatus",15.040959118875,-15.040959118875,14.8716707021792,0,0.375,0.125,55,2.375,"Protected"
"9","Herbivore Browser","Herbivore","Naso elegans","Acanthuridae","Shifted","Cousin Carbonate",81.169429095,"Cousin Carbonate Naso elegans",0,195.187393294286,30.6751269035533,0,0.375,0.125,55,2.375,"Protected"
"11","Herbivore Grazer","Herbivore","Zebrasoma desjardinii","Acanthuridae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Zebrasoma desjardinii",42.397272075,-38.1459233925,17.58125,0,0.375,0.125,55,2.375,"Protected"
"14","Mixed-diet Feeder","Mixed-diet Feeder","Chaetodon auriga","Chaetodontidae","Shifted","Cousin Carbonate",3.7394205925,"Cousin Carbonate Chaetodon auriga",9.8255015,-4.0010642874375,12.5583941605839,0,0.375,0.125,55,2.375,"Protected"
"18","Mixed-diet Feeder","Mixed-diet Feeder","Chaetodon lunula","Chaetodontidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Chaetodon lunula",4.91275075,-1.46958848875,13.7194244604317,0,0.375,0.125,55,2.375,"Protected"
"19","Corallivore","Corallivore","Chaetodon melannotus","Chaetodontidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Chaetodon melannotus",7.933904176,-7.933904176,11.1739130434783,0,0.375,0.125,55,2.375,"Protected"
"20","Corallivore","Corallivore","Chaetodon meyeri","Chaetodontidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Chaetodon meyeri",4.428597148,-4.428597148,13.6111111111111,0,0.375,0.125,55,2.375,"Protected"
"21","Corallivore","Corallivore","Chaetodon trifascialis","Chaetodontidae","Shifted","Cousin Carbonate",0,"Cousin Carbonate Chaetodon trifascialis",2.20615855533333,-2.20615855533333,10.7625,0,0.375,0.125,55,2.375,"Protected"
