"","X","richness","Location","Year","state","Habitat","Management"
"1",1,64,"Cousin Carbonate",1994,"Shifted","Carbonate","Protected"
"2",2,67,"Cousin Granite",1994,"Shifted","Granitic","Protected"
"3",3,58,"Cousin Patch",1994,"Shifted","Patch","Protected"
"4",4,61,"Mahe E Carbonate",1994,"Shifted","Carbonate","Fished"
"5",5,38,"Mahe E Granite",1994,"Shifted","Granitic","Fished"
"6",6,54,"Mahe E Patch",1994,"Recovering","Patch","Fished"
"7",7,54,"Mahe NW Carbonate",1994,"Recovering","Carbonate","Protected"
"8",8,55,"Mahe NW Granite",1994,"Recovering","Granitic","Fished"
"9",9,38,"Mahe NW Patch",1994,"Recovering","Patch","Fished"
"10",10,42,"Mahe W Carbonate",1994,"Recovering","Carbonate","Fished"
"11",11,50,"Mahe W Granite",1994,"Recovering","Granitic","Fished"
"12",12,50,"Mahe W Patch",1994,"Recovering","Patch","Fished"
"13",13,61,"Praslin NE Carbonate",1994,"Shifted","Carbonate","Fished"
"14",14,58,"Praslin NE Granite",1994,"Recovering","Granitic","Protected"
"15",15,53,"Praslin NE Patch",1994,"Recovering","Patch","Protected"
"16",16,42,"Praslin SW Carbonate",1994,"Shifted","Carbonate","Fished"
"17",17,55,"Praslin SW Granite",1994,"Recovering","Granitic","Fished"
"18",18,46,"Praslin SW Patch",1994,"Shifted","Patch","Fished"
"19",19,61,"Ste Anne Carbonate",1994,"Shifted","Carbonate","Protected"
"20",20,53,"Ste Anne Granite",1994,"Recovering","Granitic","Protected"
"21",21,63,"Ste Anne Patch",1994,"Recovering","Patch","Protected"
"22",22,34,"Cousin Carbonate",2005,"Shifted","Carbonate","Protected"
"23",23,40,"Cousin Granite",2005,"Shifted","Granitic","Protected"
"24",24,41,"Cousin Patch",2005,"Shifted","Patch","Protected"
"25",25,32,"Mahe E Carbonate",2005,"Shifted","Carbonate","Fished"
"26",26,37,"Mahe E Granite",2005,"Shifted","Granitic","Fished"
"27",27,38,"Mahe E Patch",2005,"Recovering","Patch","Fished"
"28",28,52,"Mahe NW Carbonate",2005,"Recovering","Carbonate","Protected"
"29",29,48,"Mahe NW Granite",2005,"Recovering","Granitic","Fished"
"30",30,31,"Mahe NW Patch",2005,"Recovering","Patch","Fished"
"31",31,48,"Mahe W Carbonate",2005,"Recovering","Carbonate","Fished"
"32",32,50,"Mahe W Granite",2005,"Recovering","Granitic","Fished"
"33",33,39,"Mahe W Patch",2005,"Recovering","Patch","Fished"
"34",34,37,"Praslin NE Carbonate",2005,"Shifted","Carbonate","Fished"
"35",35,53,"Praslin NE Granite",2005,"Recovering","Granitic","Protected"
"36",36,48,"Praslin NE Patch",2005,"Recovering","Patch","Protected"
"37",37,32,"Praslin SW Carbonate",2005,"Shifted","Carbonate","Fished"
"38",38,47,"Praslin SW Granite",2005,"Recovering","Granitic","Fished"
"39",39,39,"Praslin SW Patch",2005,"Shifted","Patch","Fished"
"40",40,41,"Ste Anne Carbonate",2005,"Shifted","Carbonate","Protected"
"41",41,62,"Ste Anne Granite",2005,"Recovering","Granitic","Protected"
"42",42,36,"Ste Anne Patch",2005,"Recovering","Patch","Protected"
"43",43,41,"Cousin Carbonate",2008,"Shifted","Carbonate","Protected"
"44",44,49,"Cousin Granite",2008,"Shifted","Granitic","Protected"
"45",45,46,"Cousin Patch",2008,"Shifted","Patch","Protected"
"46",46,55,"Mahe E Carbonate",2008,"Shifted","Carbonate","Fished"
"47",47,46,"Mahe E Granite",2008,"Shifted","Granitic","Fished"
"48",48,48,"Mahe E Patch",2008,"Recovering","Patch","Fished"
"49",49,58,"Mahe NW Carbonate",2008,"Recovering","Carbonate","Protected"
"50",50,58,"Mahe NW Granite",2008,"Recovering","Granitic","Fished"
"51",51,39,"Mahe NW Patch",2008,"Recovering","Patch","Fished"
"52",52,53,"Mahe W Carbonate",2008,"Recovering","Carbonate","Fished"
"53",53,50,"Mahe W Granite",2008,"Recovering","Granitic","Fished"
"54",54,49,"Mahe W Patch",2008,"Recovering","Patch","Fished"
"55",55,34,"Praslin NE Carbonate",2008,"Shifted","Carbonate","Fished"
"56",56,71,"Praslin NE Granite",2008,"Recovering","Granitic","Protected"
"57",57,46,"Praslin NE Patch",2008,"Recovering","Patch","Protected"
"58",58,35,"Praslin SW Carbonate",2008,"Shifted","Carbonate","Fished"
"59",59,62,"Praslin SW Granite",2008,"Recovering","Granitic","Fished"
"60",60,57,"Praslin SW Patch",2008,"Shifted","Patch","Fished"
